"mesh_term_lower","n_pmids","prop_total"
acute aortic syndrome,52,0.000001352365906938708593
acute care surgery,163,0.000004239146977519413473
acute chest syndrome,425,0.000011052990585556752920
acute coronary syndrome,21695,0.00056422266059683236
acute disease,228140,0.00593324534632686497
acute febrile encephalopathy,113,0.000002938795143924501364
acute generalized exanthematous pustulosis,535,0.000013913764619465559558
acute kidney injury,58883,0.00153137234035138419
acute lung injury,9623,0.00025026571389367678
acute-on-chronic liver failure,1627,0.000042313448665178440000
acute pain,3494,0.000090868586131612458120
acute-phase proteins,7342,0.00019094366324507689
acute-phase reaction,3436,0.000089360178004642360074
acute radiation syndrome,538,0.000013991785729481254284
acute retroviral syndrome,10,0.000000260070366718982422
acyclic monoterpenes,2862,0.000074432138954972769072
acyclovir,9528,0.00024779504540984645
acylation,8569,0.00022285429724149604
acyl-butyrolactones,1102,0.000028659754412431862864
acyl carrier protein,1038,0.000026995304065430375366
acyl-carrier protein s-acetyltransferase,20,0.000000520140733437964843
acyl-carrier protein s-malonyltransferase,123,0.000003198865510643483786
acyl-coa dehydrogenase,1234,0.000032092683253122430830
"acyl-coa dehydrogenase, long-chain",636,0.000016540475323327282016
acyl-coa dehydrogenases,693,0.000018022876413625481819
acyl-coa oxidase,972,0.000025278839645085091383
acyl coenzyme a,4489,0.00011674558762015121
acylphosphatase,252,0.000006553773241318357025
acyltransferases,12419,0.00032298138842830427
ad26covs1,363,0.000009440554311899061905
adalimumab,7514,0.00019541687355264339
adam10 protein,1129,0.000029361944402573115403
adam12 protein,393,0.000010220765412056009170
adam17 protein,2097,0.000054536755900970613817
adamantane,3606,0.000093781374238865061242
adamantinoma,416,0.000010818927255509668740
adam proteins,6165,0.00016033338108225266
adams-stokes syndrome,1667,0.000043353730132054369687
adamts13 protein,2389,0.000062130810609164900529
adamts1 protein,316,0.000008218223588319844524
adamts4 protein,500,0.000013003518335949121082
adamts5 protein,518,0.000013471644996043289441
adamts7 protein,94,0.000002444661447158434763
adamts9 protein,136,0.000003536956987378160934
adamts proteins,570,0.000014824010902981998033
adansonia,113,0.000002938795143924501364
